visitType,trapFunctioning,fishProcessed,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,counterAtEnd,visitTime,siteName,subSiteName,trapVisitID,includeCatch
continue trapping,not recorded,not recorded,3,3.6,NA,1997-03-11T07:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.6,NA,NA,1997-03-12T09:15:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.5,NA,NA,1997-03-15T09:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.4,NA,NA,1997-03-16T09:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.2,NA,NA,1997-04-01T10:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,0,NA,NA,1997-04-04T08:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3,3,NA,1997-04-06T08:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,2.4,2.4,NA,1997-04-08T07:40:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.4,3.3,NA,1997-04-13T08:45:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.4,3.4,NA,1997-04-14T11:20:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.4,NA,NA,1997-04-15T08:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,0,3.3,NA,1997-04-16T11:50:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.4,0,NA,1997-04-17T09:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.1,3.1,NA,1997-04-28T09:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.3,3.3,NA,1997-04-29T09:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,2.6,2.6,NA,1997-05-09T10:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,1.7,1.8,NA,1997-06-18T11:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,0,3,NA,1997-11-30T07:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1997-11-30T08:50:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,2.1,2.1,NA,1997-12-01T08:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1997-12-01T09:15:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,5.4,5.4,NA,1998-03-03T09:45:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,4.8,4.8,NA,1998-03-04T09:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,0,5.2,NA,1998-03-05T09:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,4.8,4.8,NA,1998-03-06T09:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-06T11:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3.657142857142857,3.657142857142857,NA,1998-03-07T09:45:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.68,3.68,NA,1998-03-07T09:30:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,4,4,NA,1998-03-08T09:45:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.4,NA,NA,1998-03-09T10:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.3709677419354835,3.4419354838709677,NA,1998-03-10T10:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-10T09:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3.473913043478261,3.6478260869565218,NA,1998-03-10T10:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3.54,2.9,NA,1998-03-11T09:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-11T09:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3.9,NA,NA,1998-03-11T09:30:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3.2,3.8,NA,1998-03-12T09:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.382608695652174,3.8,NA,1998-03-12T10:45:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-12T11:30:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3.784615384615385,3.8846153846153846,NA,1998-03-13T09:15:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.8666666666666663,3.966666666666667,NA,1998-03-13T10:30:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-13T11:20:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,4.338461538461538,2.9,NA,1998-03-14T10:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.183333333333333,2.9,NA,1998-03-14T09:30:00Z,parrot-phelan,NA,NA,Yes
